date,difference
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,2
2020-03-04,0
2020-03-05,0
2020-03-06,1
2020-03-07,2
2020-03-08,0
2020-03-09,5
2020-03-10,7
2020-03-11,6
2020-03-12,9
2020-03-13,11
2020-03-14,31
2020-03-15,26
2020-03-16,22
2020-03-17,25
2020-03-18,53
2020-03-19,97
2020-03-20,202
2020-03-21,76
2020-03-22,71
2020-03-23,151
2020-03-24,261
2020-03-25,229
2020-03-26,286
2020-03-27,491
2020-03-28,371
2020-03-29,296
2020-03-30,164
2020-03-31,1145
2020-04-01,737
2020-04-02,734
2020-04-03,504
2020-04-04,346
2020-04-05,497
2020-04-06,685
2020-04-07,1608
2020-04-08,1112
2020-04-09,682
2020-04-10,956
2020-04-11,687
2020-04-12,297
2020-04-13,895
2020-04-14,1323
2020-04-15,436
2020-04-16,717
2020-04-17,1588
2020-04-18,498
2020-04-19,646
2020-04-20,1194
2020-04-21,497
2020-04-22,1383
2020-04-23,702
2020-04-24,626
2020-04-25,739
2020-04-26,273
2020-04-27,895
2020-04-28,661
2020-04-29,918
2020-04-30,520
2020-05-01,1262
2020-05-02,850
2020-05-03,341
2020-05-04,848
2020-05-05,600
2020-05-06,773
2020-05-07,903
2020-05-08,608
